app_start.stm,app_start.sip,app_start.rom_ver,app_start.sid,app_start.app_type,app_start.ctime,app_start.app_ver,app_start.order,app_start.h_mode,app_start.h_sn,app_start.net_type,app_start.appmode,app_start.o_source,app_start.app_name,app_start.status,app_start.s_ver,app_start.mac,app_start.year,app_start.month,app_start.day,app_start.hour
1540744127,182.141.87.204,4.1.1.12_s,ba00291b15474b269545c787161e12d7,4,1540743171,4.1.1.12,3,LE42B510F,FUN201001556516140100795,1,TVLauncher,com.bestv.ott,tv.fun.orange,1,1.1.0.0,28:76:CD:08:2A:5F,2018,10,29,00
1540742600,117.135.231.173,20180912,b8bd1bdd575a44948009d5bb11287711,4,1540739504,3.5.5.1,28,cultraview_AOSP%20on%20p383,,1,TVController,com.funshion.controlservice,com.evideo.kmbox,1,1.2.0,b8:3d:4e:9d:68:ee,2018,10,29,00
1540745047,111.19.47.238,4.1.1.12_s,f6c3da64283243f3ab52843a10f5f645,4,1540744094,4.1.1.12,5,LE42B510F,FUN201001498116140103374,1,TVAppStore,tv.fun.appstore,com.dianshijia.newlive,1,3.0.28,28:76:CD:07:4E:A4,2018,10,29,00
1540744037,124.88.38.14,4.1.1.12_s,1a4c1348e29d473d92bb333ea87ca198,4,1540743419,4.1.1.12,121,LE42B510F,FUN201001372415530101982,1,TVController,com.funshion.controlservice,com.funshion.tvwifidisplay,1,4.1.1.12,28:76:CD:03:81:C8,2018,10,29,00
1540745623,112.97.247.34,4.1.1.20_s,37900cc42e9049fba28bbb95098007b5,4,1540745027,4.1.1.20,38,FD4051B-CF,FUN201004545718340100916,1,TVAppStore,tv.fun.appstore,com.tencent.gamestick,1,1.3.51,8C:6D:50:79:7F:3A,2018,10,29,00
1540743398,183.206.85.156,4.3.3.16_s,43f8205815ed40f49de658dd75bc9fc4,4,1540727478,4.3.3.16,422,FD4952A-SU,FUN201003247017360104172,1,TVAppStore,tv.fun.appstore,com.douyu.xl.douyutv,1,2.1.0_realse,28:76:CD:B4:47:8A,2018,10,29,00
1540745530,219.138.21.197,4.1.2.2_s,d1bc25b023354095974c56b0cc323da9,4,1540744423,4.1.2.2,184,FD4952A-SU,FUN201004632418390100842,1,TVLauncher,com.bestv.ott,tv.fun.instructions,1,4.1.2.2,18:89:A0:20:E9:AD,2018,10,29,00
1540744318,42.235.160.95,4.1.1.12_s,cc5b6990119f45919b705e584ab9b98b,4,1540727391,4.1.1.12,103,LE42B510F,FUN201001979216340103747,1,TVAppStore,tv.fun.appstore,com.tencent.qqmusictv,1,3.3.0.14,28:76:CD:0C:80:2A,2018,10,29,00
1540742860,106.91.6.50,4.3.3.16_s,2569cfe5269049278fc93a5fdc861462,4,1540742796,4.3.3.16,240,FD4251A-CF,FUN201002668017150104457,1,TVLauncher,com.bestv.ott,com.qiyivideo.fengxing.tvapi,1,8.8.0.79552,28:76:CD:2D:D8:1D,2018,10,29,00
1540743144,221.211.120.11,4.1.1.9_s,218a644eabe54177bfcc78b5d97c58ea,4,1540730965,4.1.1.9,67,LE42E6900,FUN201001947116320104567,1,TVAppStore,tv.fun.appstore,com.ktcp.video,1,3.7.0.1020,28:76:CD:0C:51:D9,2018,10,29,00
